18_gourmet_pos_1	18_gourmet_pos_2
18_gourmet_pos_2	18_gourmet_pos_3
18_gourmet_pos_3	18_gourmet_pos_4
18_gourmet_pos_4	18_gourmet_pos_5
18_gourmet_pos_5	18_gourmet_pos_6
18_gourmet_pos_6	18_gourmet_pos_7
18_gourmet_pos_7	18_gourmet_pos_8
18_gourmet_pos_8	18_gourmet_pos_9
18_gourmet_pos_9	18_gourmet_pos_10
18_gourmet_pos_10	18_gourmet_pos_11
18_gourmet_pos_11	18_gourmet_pos_12
18_gourmet_pos_12	18_gourmet_pos_13
18_gourmet_pos_13	18_gourmet_pos_14
18_gourmet_pos_14	18_gourmet_pos_15
18_gourmet_pos_15	18_gourmet_pos_16
18_gourmet_pos_16	18_gourmet_pos_17
18_gourmet_pos_17	18_gourmet_pos_18
18_gourmet_pos_19	18_gourmet_pos_20
18_gourmet_pos_20	18_gourmet_pos_21
18_gourmet_pos_21	18_gourmet_pos_22
18_gourmet_pos_22	18_gourmet_pos_23
18_gourmet_pos_23	18_gourmet_pos_24
18_gourmet_pos_24	18_gourmet_pos_25
18_gourmet_pos_25	18_gourmet_pos_26
18_gourmet_pos_26	18_gourmet_pos_27
18_gourmet_pos_27	18_gourmet_pos_28
18_gourmet_pos_28	18_gourmet_pos_29
18_gourmet_pos_29	18_gourmet_pos_30
18_gourmet_pos_30	18_gourmet_pos_31
18_gourmet_pos_31	18_gourmet_pos_32
18_gourmet_pos_32	18_gourmet_pos_33
18_gourmet_pos_33	18_gourmet_pos_34
18_gourmet_pos_34	18_gourmet_pos_35
18_gourmet_pos_35	18_gourmet_pos_36
18_gourmet_pos_36	18_gourmet_pos_37
18_gourmet_pos_37	18_gourmet_pos_38
18_gourmet_pos_38	18_gourmet_pos_39
18_gourmet_pos_39	18_gourmet_pos_40
18_gourmet_pos_40	18_gourmet_pos_41
18_gourmet_pos_41	18_gourmet_pos_42
18_gourmet_pos_42	18_gourmet_pos_43
18_gourmet_pos_43	18_gourmet_pos_44
18_gourmet_pos_44	18_gourmet_pos_45
