13_kitchen_pos_1	13_kitchen_pos_2
13_kitchen_pos_2	13_kitchen_pos_3
13_kitchen_pos_3	13_kitchen_pos_4
13_kitchen_pos_4	13_kitchen_pos_5
13_kitchen_pos_5	13_kitchen_pos_6
13_kitchen_pos_6	13_kitchen_pos_7
13_kitchen_pos_7	13_kitchen_pos_8
13_kitchen_pos_9	13_kitchen_pos_10
13_kitchen_pos_10	13_kitchen_pos_11
13_kitchen_pos_11	13_kitchen_pos_12
13_kitchen_pos_12	13_kitchen_pos_13
13_kitchen_pos_13	13_kitchen_pos_14
13_kitchen_pos_14	13_kitchen_pos_15
13_kitchen_pos_15	13_kitchen_pos_16
13_kitchen_pos_16	13_kitchen_pos_17
13_kitchen_pos_17	13_kitchen_pos_18
13_kitchen_pos_18	13_kitchen_pos_19
13_kitchen_pos_19	13_kitchen_pos_20
13_kitchen_pos_20	13_kitchen_pos_21
13_kitchen_pos_21	13_kitchen_pos_22
13_kitchen_pos_22	13_kitchen_pos_23
13_kitchen_pos_23	13_kitchen_pos_24
13_kitchen_pos_24	13_kitchen_pos_25
13_kitchen_pos_25	13_kitchen_pos_26
13_kitchen_pos_26	13_kitchen_pos_27
13_kitchen_pos_27	13_kitchen_pos_28
13_kitchen_pos_29	13_kitchen_pos_30
13_kitchen_pos_30	13_kitchen_pos_31
13_kitchen_pos_31	13_kitchen_pos_32
13_kitchen_pos_32	13_kitchen_pos_33
13_kitchen_pos_33	13_kitchen_pos_34
13_kitchen_pos_34	13_kitchen_pos_35
13_kitchen_pos_35	13_kitchen_pos_36
13_kitchen_pos_36	13_kitchen_pos_37
13_kitchen_pos_37	13_kitchen_pos_38
13_kitchen_pos_38	13_kitchen_pos_39
13_kitchen_pos_39	13_kitchen_pos_40
13_kitchen_pos_40	13_kitchen_pos_41
13_kitchen_pos_41	13_kitchen_pos_42
13_kitchen_pos_42	13_kitchen_pos_43
13_kitchen_pos_43	13_kitchen_pos_44
13_kitchen_pos_44	13_kitchen_pos_45
13_kitchen_pos_45	13_kitchen_pos_46
13_kitchen_pos_46	13_kitchen_pos_47
13_kitchen_pos_47	13_kitchen_pos_48
13_kitchen_pos_48	13_kitchen_pos_49
13_kitchen_pos_49	13_kitchen_pos_50
13_kitchen_pos_50	13_kitchen_pos_51
13_kitchen_pos_51	13_kitchen_pos_52
13_kitchen_pos_52	13_kitchen_pos_53
13_kitchen_pos_53	13_kitchen_pos_54
13_kitchen_pos_55	13_kitchen_pos_56
13_kitchen_pos_56	13_kitchen_pos_57
13_kitchen_pos_57	13_kitchen_pos_58
13_kitchen_pos_58	13_kitchen_pos_59
13_kitchen_pos_59	13_kitchen_pos_60
