20_kitchen_pos_1	20_kitchen_pos_0
20_kitchen_pos_2	20_kitchen_pos_1
20_kitchen_pos_3	20_kitchen_pos_2
20_kitchen_pos_4	20_kitchen_pos_3
20_kitchen_pos_5	20_kitchen_pos_4
20_kitchen_pos_6	20_kitchen_pos_5
20_kitchen_pos_7	20_kitchen_pos_6
20_kitchen_pos_8	20_kitchen_pos_7
20_kitchen_pos_9	20_kitchen_pos_8
20_kitchen_pos_10	20_kitchen_pos_9
20_kitchen_pos_11	20_kitchen_pos_10
20_kitchen_pos_12	20_kitchen_pos_11
20_kitchen_pos_13	20_kitchen_pos_12
20_kitchen_pos_14	20_kitchen_pos_13
20_kitchen_pos_15	20_kitchen_pos_14
20_kitchen_pos_16	20_kitchen_pos_15
20_kitchen_pos_17	20_kitchen_pos_16
20_kitchen_pos_18	20_kitchen_pos_17
20_kitchen_pos_19	20_kitchen_pos_18
20_kitchen_pos_20	20_kitchen_pos_19
20_kitchen_pos_21	20_kitchen_pos_20
20_kitchen_pos_22	20_kitchen_pos_21
20_kitchen_pos_23	20_kitchen_pos_22
20_kitchen_pos_24	20_kitchen_pos_23
20_kitchen_pos_25	20_kitchen_pos_24
20_kitchen_pos_26	20_kitchen_pos_25
20_kitchen_pos_27	20_kitchen_pos_26
20_kitchen_pos_28	20_kitchen_pos_27
20_kitchen_pos_29	20_kitchen_pos_28
20_kitchen_pos_30	20_kitchen_pos_29
20_kitchen_pos_31	20_kitchen_pos_30
20_kitchen_pos_32	20_kitchen_pos_31
20_kitchen_pos_33	20_kitchen_pos_32
20_kitchen_pos_34	20_kitchen_pos_33
20_kitchen_pos_35	20_kitchen_pos_34
20_kitchen_pos_36	20_kitchen_pos_35
20_kitchen_pos_37	20_kitchen_pos_36
20_kitchen_pos_38	20_kitchen_pos_37
20_kitchen_pos_39	20_kitchen_pos_38
20_kitchen_pos_40	20_kitchen_pos_39
20_kitchen_pos_41	20_kitchen_pos_40
20_kitchen_pos_42	20_kitchen_pos_41
20_kitchen_pos_43	20_kitchen_pos_42
20_kitchen_pos_44	20_kitchen_pos_43
20_kitchen_pos_45	20_kitchen_pos_44
20_kitchen_pos_46	20_kitchen_pos_45
20_kitchen_pos_47	20_kitchen_pos_46
20_kitchen_pos_48	20_kitchen_pos_47
20_kitchen_pos_49	20_kitchen_pos_48
20_kitchen_pos_50	20_kitchen_pos_49
20_kitchen_pos_51	20_kitchen_pos_50
20_kitchen_pos_52	20_kitchen_pos_51
