10_kitchen_neg_1	10_kitchen_neg_2
10_kitchen_neg_2	10_kitchen_neg_3
10_kitchen_neg_3	10_kitchen_neg_4
10_kitchen_neg_4	10_kitchen_neg_5
10_kitchen_neg_5	10_kitchen_neg_6
10_kitchen_neg_6	10_kitchen_neg_7
10_kitchen_neg_7	10_kitchen_neg_8
10_kitchen_neg_8	10_kitchen_neg_9
10_kitchen_neg_9	10_kitchen_neg_10
10_kitchen_neg_10	10_kitchen_neg_11
10_kitchen_neg_11	10_kitchen_neg_12
10_kitchen_neg_12	10_kitchen_neg_13
10_kitchen_neg_13	10_kitchen_neg_14
10_kitchen_neg_14	10_kitchen_neg_15
10_kitchen_neg_15	10_kitchen_neg_16
10_kitchen_neg_16	10_kitchen_neg_17
10_kitchen_neg_17	10_kitchen_neg_18
10_kitchen_neg_18	10_kitchen_neg_19
10_kitchen_neg_19	10_kitchen_neg_20
10_kitchen_neg_20	10_kitchen_neg_21
10_kitchen_neg_21	10_kitchen_neg_22
10_kitchen_neg_22	10_kitchen_neg_23
10_kitchen_neg_23	10_kitchen_neg_24
10_kitchen_neg_24	10_kitchen_neg_25
10_kitchen_neg_25	10_kitchen_neg_26
10_kitchen_neg_26	10_kitchen_neg_27
10_kitchen_neg_27	10_kitchen_neg_28
10_kitchen_neg_28	10_kitchen_neg_29
10_kitchen_neg_29	10_kitchen_neg_30
10_kitchen_neg_30	10_kitchen_neg_31
10_kitchen_neg_31	10_kitchen_neg_32
10_kitchen_neg_32	10_kitchen_neg_33
10_kitchen_neg_33	10_kitchen_neg_34
10_kitchen_neg_34	10_kitchen_neg_35
10_kitchen_neg_35	10_kitchen_neg_36
10_kitchen_neg_36	10_kitchen_neg_37
10_kitchen_neg_37	10_kitchen_neg_38
10_kitchen_neg_38	10_kitchen_neg_39
10_kitchen_neg_39	10_kitchen_neg_40
