19_kitchen_neg_1	19_kitchen_neg_0
19_kitchen_neg_2	19_kitchen_neg_1
19_kitchen_neg_3	19_kitchen_neg_2
19_kitchen_neg_4	19_kitchen_neg_3
19_kitchen_neg_5	19_kitchen_neg_4
19_kitchen_neg_6	19_kitchen_neg_5
19_kitchen_neg_7	19_kitchen_neg_6
19_kitchen_neg_8	19_kitchen_neg_7
19_kitchen_neg_9	19_kitchen_neg_8
19_kitchen_neg_10	19_kitchen_neg_9
19_kitchen_neg_11	19_kitchen_neg_10
19_kitchen_neg_12	19_kitchen_neg_11
19_kitchen_neg_13	19_kitchen_neg_12
19_kitchen_neg_14	19_kitchen_neg_13
19_kitchen_neg_15	19_kitchen_neg_14
19_kitchen_neg_16	19_kitchen_neg_15
19_kitchen_neg_17	19_kitchen_neg_16
19_kitchen_neg_18	19_kitchen_neg_17
19_kitchen_neg_19	19_kitchen_neg_18
19_kitchen_neg_20	19_kitchen_neg_19
19_kitchen_neg_21	19_kitchen_neg_20
19_kitchen_neg_22	19_kitchen_neg_21
19_kitchen_neg_23	19_kitchen_neg_22
19_kitchen_neg_24	19_kitchen_neg_23
19_kitchen_neg_25	19_kitchen_neg_24
19_kitchen_neg_26	19_kitchen_neg_25
19_kitchen_neg_27	19_kitchen_neg_26
19_kitchen_neg_28	19_kitchen_neg_27
19_kitchen_neg_29	19_kitchen_neg_28
19_kitchen_neg_30	19_kitchen_neg_29
19_kitchen_neg_31	19_kitchen_neg_30
19_kitchen_neg_32	19_kitchen_neg_31
19_kitchen_neg_33	19_kitchen_neg_32
19_kitchen_neg_34	19_kitchen_neg_33
19_kitchen_neg_35	19_kitchen_neg_34
19_kitchen_neg_36	19_kitchen_neg_35
