negative	0.125	0.25	There  are  many  pros  and  cons  about  this  device  and  the  service  that  it  is  shackled  to  . 
negative	0.125	0.25	I  will  break  it  down  to  Hardware  ,  Software  and  Cell  Phone  Service  Provider  . 
positive	0.0001	0.0001	Hardware  Pro  's  : 
positive	0.125	0.4166666666666667	A  lot  has  been  written  about  this  aspect  of  the  device  ,  so  I  `  ll  keep  this  to  a  minimum  -  The  best  form  factor 
positive	0.0001	0.0001	I  `  ve  ever  seen  . 
positive	0.0001	0.0001	This  device  provides  you  the  power  of  a  Blackberry  without  the  bulky  hardware 
positive	0.125	0.0001	so  I  can  put  it  in  my  pocket  comfortably 
positive	0.3333333333333333	0.25	and  not  have  to  look  like  a  geek  with  the  belt  holster  . 
positive	0.125	0.25	-  A  key  selling  point  for  me  was  the  combined  Bluetooth  ,  Wi-Fi  and  quad-band  connectivity 
positive	0.0001	0.3125	that  enabled  me  to  connect  a  wireless  headset  ,  cruise  web  pages 
positive	0.0001	0.25	and  have  access 
positive	0.0001	0.0001	to  email 
positive	0.0001	0.0001	when  in  the  US  or  Europe  . 
positive	0.125	0.3125	-  The  phone  quality  is  excellent  . 
positive	0.1875	0.4375	-  The  keyboard  layout  is  excellent  and  easy  to  use  for  medium  sized  emails  . 
positive	0.125	0.25	-  The  battery  life  is  great 
positive	0.375	0.3125	when  Wi-Fi  is  not  enabled  and  adequate 
positive	0.125	0.25	when  it  is  . 
positive	0.375	0.0001	-LRB-  I  `  ve  rarely  struggled  with  a  dying  battery  .  -RRB-  Stand-by 
positive	0.125	0.25	power  management  appears  to  be  excellent  . 
positive	0.1875	0.25	-  Charging  of  the  device  is  very  quick  . 
positive	0.0001	0.0001	-  The  display  , 
negative	0.375	0.0001	while  a  little  small  , 
positive	0.21875	0.325	is  crystal  clear  and  surprisingly  easy  to  use  given  its  size  . 
positive	0.16666666666666666	0.4	-  The  camera  is  pretty  good  and  it  's  been  really  great 
positive	0.0001	0.0001	emailing  photo  's  to  people  as  I  'm  traveling  around  . 
negative	0.0001	0.0001	After  all  of  the  cons 
negative	0.0001	0.0001	that  you  `  ll  read  below  you 
negative	0.0001	0.75	`  ll  wonder 
negative	0.0001	0.0001	why  I  ever  bought  the  device 
negative	0.125	0.0001	and  why  I  still  use  it  . 
negative	0.125	0.25	Well  here  it  is  : 
negative	0.25	0.3333333333333333	1  .  T-Mobile  locked  me  into  a  2  year  contract  on  a  very  expensive  device  . 
positive	0.0001	0.25	2  .  It  has  great  hardware 
positive	0.0001	0.0001	that  I  can  use  in  the  US  and  Europe  , 
negative	0.125	0.125	I  'm  just  hoping 
negative	0.0001	0.125	that  Microsoft  will  finally  get 
negative	0.125	0.0001	it  right  . 
negative	0.0001	0.0001	Hardware  Con  's 
negative	0.125	0.25	-  The  touch  sensitive  volume  button  is  the  most  ill-conceived  feature 
positive	0.0001	0.0001	I  `  ve  ever  seen  . 
negative	0.0001	0.125	Even  after  playing  around  with  various  settings 
negative	0.15625	0.20833333333333331	it  is  still  hard  to  quickly  set  the  volume  at  the  desired  level  . 
negative	0.75	0.125	Even  worse  , 
negative	0.375	0.0001	when  using  the  phone  your  ear  or  finger  can  inadvertently  hit  the  control 
negative	0.0001	0.375	and  randomly  change  the  volume  . 
negative	0.375	0.1875	-  The  TI  OMAP  850  at  201MHz  is  not  beefy  enough  for  the  software 
negative	0.125	0.25	that  is  loaded  onto  the  device  . 
negative	0.5	0.125	However  , 
negative	0.3125	0.3125	the  blame  could  well  be  laid  at  Microsoft  's  door  for  writing  inefficient  code 
negative	0.0001	0.25	and  having  poor  scheduling  software  between  tasks  and  applications  . 
negative	0.1875	0.20833333333333331	Either  way  ,  performance  is  very  slow  for  some  basic  functions 
negative	0.0001	0.0001	-LRB-  see  below  -RRB- 
negative	0.0001	0.0001	and 
