13_cell_neg_2	13_cell_neg_1
13_cell_neg_3	13_cell_neg_2
13_cell_neg_4	13_cell_neg_3
13_cell_neg_5	13_cell_neg_4
13_cell_neg_6	13_cell_neg_5
13_cell_neg_7	13_cell_neg_6
13_cell_neg_8	13_cell_neg_7
13_cell_neg_9	13_cell_neg_8
13_cell_neg_10	13_cell_neg_9
13_cell_neg_11	13_cell_neg_10
13_cell_neg_12	13_cell_neg_11
13_cell_neg_13	13_cell_neg_12
13_cell_neg_14	13_cell_neg_13
13_cell_neg_15	13_cell_neg_14
13_cell_neg_16	13_cell_neg_15
13_cell_neg_17	13_cell_neg_16
13_cell_neg_18	13_cell_neg_17
13_cell_neg_19	13_cell_neg_18
13_cell_neg_20	13_cell_neg_19
13_cell_neg_21	13_cell_neg_20
13_cell_neg_22	13_cell_neg_21
13_cell_neg_23	13_cell_neg_22
13_cell_neg_24	13_cell_neg_23
13_cell_neg_25	13_cell_neg_24
13_cell_neg_26	13_cell_neg_25
13_cell_neg_27	13_cell_neg_26
13_cell_neg_28	13_cell_neg_27
13_cell_neg_29	13_cell_neg_28
13_cell_neg_30	13_cell_neg_29
13_cell_neg_31	13_cell_neg_30
13_cell_neg_32	13_cell_neg_31
13_cell_neg_33	13_cell_neg_32
13_cell_neg_34	13_cell_neg_33
13_cell_neg_35	13_cell_neg_34
13_cell_neg_36	13_cell_neg_35
13_cell_neg_37	13_cell_neg_36
13_cell_neg_38	13_cell_neg_37
13_cell_neg_39	13_cell_neg_38
13_cell_neg_40	13_cell_neg_39
13_cell_neg_41	13_cell_neg_40
13_cell_neg_42	13_cell_neg_41
13_cell_neg_43	13_cell_neg_42
13_cell_neg_44	13_cell_neg_43
13_cell_neg_45	13_cell_neg_44
6_cell_pos_2	6_cell_pos_1
6_cell_pos_3	6_cell_pos_2
6_cell_pos_4	6_cell_pos_3
6_cell_pos_5	6_cell_pos_4
6_cell_pos_6	6_cell_pos_5
6_cell_pos_7	6_cell_pos_6
6_cell_pos_8	6_cell_pos_7
6_cell_pos_9	6_cell_pos_8
6_cell_pos_10	6_cell_pos_9
6_cell_pos_11	6_cell_pos_10
6_cell_pos_12	6_cell_pos_11
6_cell_pos_13	6_cell_pos_12
6_cell_pos_14	6_cell_pos_13
6_cell_pos_15	6_cell_pos_14
6_cell_pos_16	6_cell_pos_15
6_cell_pos_17	6_cell_pos_16
6_cell_pos_18	6_cell_pos_17
6_cell_pos_19	6_cell_pos_18
6_cell_pos_20	6_cell_pos_19
6_cell_pos_21	6_cell_pos_20
6_cell_pos_22	6_cell_pos_21
6_cell_pos_23	6_cell_pos_22
6_cell_pos_24	6_cell_pos_23
6_cell_pos_25	6_cell_pos_24
6_cell_pos_26	6_cell_pos_25
6_cell_pos_27	6_cell_pos_26
6_cell_pos_28	6_cell_pos_27
6_cell_pos_29	6_cell_pos_28
6_cell_pos_30	6_cell_pos_29
6_cell_pos_31	6_cell_pos_30
6_cell_pos_32	6_cell_pos_31
6_cell_pos_33	6_cell_pos_32
6_cell_pos_34	6_cell_pos_33
6_cell_pos_35	6_cell_pos_34
6_cell_pos_36	6_cell_pos_35
6_cell_pos_37	6_cell_pos_36
6_cell_pos_38	6_cell_pos_37
6_cell_pos_39	6_cell_pos_38
6_cell_pos_40	6_cell_pos_39
6_cell_pos_41	6_cell_pos_40
6_cell_pos_42	6_cell_pos_41
6_cell_pos_43	6_cell_pos_42
6_cell_pos_44	6_cell_pos_43
6_cell_pos_45	6_cell_pos_44
6_cell_pos_46	6_cell_pos_45
6_cell_pos_47	6_cell_pos_46
6_cell_pos_48	6_cell_pos_47
6_cell_pos_49	6_cell_pos_48
6_cell_pos_50	6_cell_pos_49
6_cell_pos_51	6_cell_pos_50
6_cell_pos_52	6_cell_pos_51
6_cell_pos_53	6_cell_pos_52
6_cell_pos_54	6_cell_pos_53
6_cell_pos_55	6_cell_pos_54
6_cell_pos_56	6_cell_pos_55
6_cell_pos_57	6_cell_pos_56
6_cell_pos_58	6_cell_pos_57
6_cell_pos_59	6_cell_pos_58
6_cell_pos_60	6_cell_pos_59
6_cell_pos_61	6_cell_pos_60
6_cell_pos_62	6_cell_pos_61
6_cell_pos_63	6_cell_pos_62
6_cell_pos_64	6_cell_pos_63
6_cell_pos_65	6_cell_pos_64
6_cell_pos_66	6_cell_pos_65
6_cell_pos_67	6_cell_pos_66
6_cell_pos_68	6_cell_pos_67
6_cell_pos_69	6_cell_pos_68
6_cell_pos_70	6_cell_pos_69
6_cell_pos_71	6_cell_pos_70
6_cell_pos_72	6_cell_pos_71
6_cell_pos_73	6_cell_pos_72
6_cell_pos_74	6_cell_pos_73
6_cell_pos_75	6_cell_pos_74
6_cell_pos_76	6_cell_pos_75
6_cell_pos_77	6_cell_pos_76
6_cell_pos_78	6_cell_pos_77
6_cell_pos_79	6_cell_pos_78
6_cell_pos_80	6_cell_pos_79
6_cell_pos_81	6_cell_pos_80
6_cell_pos_82	6_cell_pos_81
6_cell_pos_83	6_cell_pos_82
6_cell_pos_84	6_cell_pos_83
6_cell_pos_85	6_cell_pos_84
6_cell_pos_86	6_cell_pos_85
6_cell_pos_87	6_cell_pos_86
6_cell_pos_88	6_cell_pos_87
6_cell_pos_89	6_cell_pos_88
6_cell_pos_90	6_cell_pos_89
6_cell_pos_91	6_cell_pos_90
6_cell_pos_92	6_cell_pos_91
6_cell_pos_93	6_cell_pos_92
6_cell_pos_94	6_cell_pos_93
6_cell_pos_95	6_cell_pos_94
1_kitchen_pos_2	1_kitchen_pos_1
1_kitchen_pos_3	1_kitchen_pos_2
1_kitchen_pos_4	1_kitchen_pos_3
1_kitchen_pos_5	1_kitchen_pos_4
1_kitchen_pos_6	1_kitchen_pos_5
1_kitchen_pos_7	1_kitchen_pos_6
1_kitchen_pos_8	1_kitchen_pos_7
1_kitchen_pos_9	1_kitchen_pos_8
1_kitchen_pos_10	1_kitchen_pos_9
1_kitchen_pos_11	1_kitchen_pos_10
1_kitchen_pos_12	1_kitchen_pos_11
1_kitchen_pos_13	1_kitchen_pos_12
1_kitchen_pos_14	1_kitchen_pos_13
1_kitchen_pos_15	1_kitchen_pos_14
1_kitchen_pos_16	1_kitchen_pos_15
1_kitchen_pos_17	1_kitchen_pos_16
1_kitchen_pos_18	1_kitchen_pos_17
1_kitchen_pos_19	1_kitchen_pos_18
1_kitchen_pos_20	1_kitchen_pos_19
1_kitchen_pos_21	1_kitchen_pos_20
1_kitchen_pos_22	1_kitchen_pos_21
1_kitchen_pos_23	1_kitchen_pos_22
1_kitchen_pos_24	1_kitchen_pos_23
1_kitchen_pos_25	1_kitchen_pos_24
1_kitchen_pos_26	1_kitchen_pos_25
1_kitchen_pos_27	1_kitchen_pos_26
1_kitchen_pos_28	1_kitchen_pos_27
1_kitchen_pos_29	1_kitchen_pos_28
1_kitchen_pos_30	1_kitchen_pos_29
1_kitchen_pos_31	1_kitchen_pos_30
1_kitchen_pos_32	1_kitchen_pos_31
