PhraseIDs	Text
9_cell_neg_1	I  `  ve  had  this  thing  for  two  weeks  . 
9_cell_neg_2	Coming  from  the  Blackberry  8700c  ,  this  phone  is  a  big  disappointment  . 
9_cell_neg_3	Work  issued  this 
9_cell_neg_4	and  took  away  the  Blackberry 
9_cell_neg_5	and  I  'm  stuck  with  it  . 
9_cell_neg_6	All  I  can  do  is  whine  on  the  Internet  ,  so  here  it  goes  . 
9_cell_neg_7	The  more  I  use  the  thing  the  less  I  like  it  . 
9_cell_neg_8	Here  's  my  list  ,  good  and  bad  . 
9_cell_neg_9	\*  Battery  life  -  attrocious  . 
9_cell_neg_10	Use  the  extended  battery  ,  throw  away  the  standard  one  . 
9_cell_neg_11	Trust  me  . 
9_cell_neg_12	Grade  : 
9_cell_neg_13	D  . 
9_cell_neg_14	\*  Navigation  -  cumbersome  . 
9_cell_neg_15	The  keys  are  too  small  , 
9_cell_neg_16	the  5-way  nav  with  buttons  get 
9_cell_neg_17	pressed  accidentally  . 
9_cell_neg_18	Workable  if  you  do  n't  have  huge  hands  . 
9_cell_neg_19	Grade  : 
9_cell_neg_20	B 
9_cell_neg_21	\*  Windows  Mobile  - 
9_cell_neg_22	I  hate  it  . 
9_cell_neg_23	Why  do  applications  not  quit 
9_cell_neg_24	when  you  end  them  ? 
9_cell_neg_25	Instead  they  stay  memory  resident 
9_cell_neg_26	and  you  have  to  manually  cancel  them  using  the  task  manager  . 
9_cell_neg_27	The  menu  is  pre-loaded  with  goodies 
9_cell_neg_28	to  buy  from  Cingular  , 
9_cell_neg_29	how  convenient  . 
9_cell_neg_30	Grade  : 
9_cell_neg_31	C  +  if  you  bother  to  learn  the  shortcut  keys  . 
9_cell_neg_32	\*  Java  is  broken  , 
9_cell_neg_33	Google  email  does  n't  work  . 
9_cell_neg_34	Maps  DOES  work  with  the  new  version  ,  thankfully  . 
9_cell_neg_35	Grade  : 
9_cell_neg_36	C  . 
9_cell_neg_37	\*  No  standard  headphone  jack  . 
9_cell_neg_38	HELLO  ?  ? 
9_cell_neg_39	This  is  suppose  to  be  an  MP3  player  ,  right  ? 
9_cell_neg_40	Somebody  explain  to  me 
9_cell_neg_41	why  this  is  OK  . 
9_cell_neg_42	Grade  : 
9_cell_neg_43	F  . 
9_cell_neg_44	\*  Phone  quality  -  Grade  A  . 
9_cell_neg_45	Yes  , 
9_cell_neg_46	they  did  something  right  . 
9_cell_neg_47	The  phone  works  great  ,  reception  is  great  ,  speakerphone  is  great  . 
9_cell_neg_48	Bluetooth  is  great  . 
9_cell_neg_49	\*  Outlook  &  email  -  This  is  workable  , 
9_cell_neg_50	but  difficult  . 
9_cell_neg_51	You  can  write  an  email  , 
9_cell_neg_52	you  can  edit  your  schedule  and  tasks  , 
9_cell_neg_53	but  it  's  not  easy  . 
9_cell_neg_54	"If  Blackberry  gets  and  ""  A  "" "
9_cell_neg_55	-LRB-  and  it  does  -RRB-  , 
9_cell_neg_56	Blackjack  gets  a  C  . 
9_cell_neg_57	It  does  n't  synch  notes  ,  so  if  you  `  re  an  Outlook  Notes  person 
9_cell_neg_58	you  `  re  just  left  out  ,  sorry  . 
9_cell_neg_59	Why  ?  ? 
9_cell_neg_60	\*  Hardware  quality  -  Very  good  ,  B  +  . 
9_cell_neg_61	The  thing  really  feels  solidly  built  . 
9_cell_neg_62	The  screen  is  vibrant  and  attractive  . 
9_cell_neg_63	The  camera  seems  to  work  fine  , 
9_cell_neg_64	although  I  may  use  it  twice  per  year  . 
9_cell_neg_65	In  short  , 
9_cell_neg_66	if  you  really  want  to  get  work 
9_cell_neg_67	done  on  your  phone  get  a  Blackberry  . 
9_cell_neg_68	If  you  want  a  phone 
9_cell_neg_69	that  does  a  lot  of  things  poorly 
9_cell_neg_70	but  looks  nice  , 
9_cell_neg_71	this  could  be  the  one  for  you  . 
15_cell_pos_1	My  previous  phone  was  the  Motorola  V60i  with  a  monochrome  screen  with  Cingular  ,  so  I  am  still  getting 
15_cell_pos_2	used  to  all  the  differences  in  phone  capabilities 
15_cell_pos_3	and  have  barely  scratched  the  surface  of  what  the  i560  can  do  . 
15_cell_pos_4	Here  's  a  breakdown  of  the  pros  and  cons  so  far 
15_cell_pos_5	-LRB-  after  a  week  -RRB-  . 
15_cell_pos_6	PROS 
15_cell_pos_7	-LRB-  in  order  of  coolness  ,  best  first  -RRB-  : 
15_cell_pos_8	1  .  Nextel  's  Direct  Connect  is  amazingly  fast  and  their  network  very  clear  . 
15_cell_pos_9	2  .  Any  call  ,  either  DirectConnect  or  regular  call  can  be  made  with  the  flip  open  or  closed  . 
15_cell_pos_10	You  can  scroll  through  recent  calls  with  the  flip  closed  and  call  any  of  them  . 
15_cell_pos_11	3  .  If  you  `  re  concerned  about  radio 
15_cell_pos_12	-LRB-  RF  -RRB-  radiation 
15_cell_pos_13	-  and  you  should  be  even  though  nobody  talks  about  it  anymore  ,  this  phone  has  the  extendable  antenna 
15_cell_pos_14	to  get  the  transmission  point  further  away  from  you 
15_cell_pos_15	-LRB-  and  improves  the  transmission  -RRB-  . 
15_cell_pos_16	4  .  The  speakerphone  is  as  loud 
15_cell_pos_17	as  you  need  it  to  be  , 
15_cell_pos_18	even  at  dinning  room  table  with  the  TV  on  and  the  sound 
15_cell_pos_19	patched  through  the  stereo  system 
15_cell_pos_20	-LRB-  very  impressive  -RRB-  . 
15_cell_pos_21	There  is  virtually  no  lag  in  the  switch  between  listening  and  speaking  using  the  speakerphone 
15_cell_pos_22	-LRB-  full  duplex  -RRB-  . 
15_cell_pos_23	You  can  also  turn  its  volume  down 
15_cell_pos_24	to  a  whisper  if  you  want  to  . 
15_cell_pos_25	5  . 
15_cell_pos_26	The  phone  is  a  little  wider  than  some  phones 
15_cell_pos_27	-LRB-  like  the  V60  -RRB-  , 
15_cell_pos_28	but  is  very  light  . 
15_cell_pos_29	Yet  the  phone  meets  the  tough  Military  specs  . 
15_cell_pos_30	6  .  Rubberized  grips  on  the  phone  make  it  easy  to  grip 
15_cell_pos_31	and  dial  with  one  hand 
15_cell_pos_32	and  phone  has  a  comfortable  feel  in  my  medium-sized  hand  . 
15_cell_pos_33	Phone  has  slight  hourglass 
15_cell_pos_34	shape 
15_cell_pos_35	-LRB-  wider  at  the  bottom  -RRB- 
15_cell_pos_36	to  fit  nicely  into  the  hand  . 
15_cell_pos_37	7  . 
15_cell_pos_38	Charger  charges  the  battery  FAST  .  .  . 
15_cell_pos_39	MUCH  faster  than  my  V60  ever  charged  . 
15_cell_pos_40	8  .  Phone  has  all  the  standard  stuff 
15_cell_pos_41	I  love  and  could  n't  live  without  : 
15_cell_pos_42	voice  dialing  ,  custom  rings  for  calls  from  my  contact  list  ,  handsfree  ,  long  recent  calls  list 
15_cell_pos_43	-LRB-  up  to  20  -RRB-  ,  ability  to  store  number 
15_cell_pos_44	to  Contacts  from  recent  calls 
15_cell_pos_45	-LRB-  without  having  to  key  the  number  , 
15_cell_pos_46	just  have  to  enter  the  name  -RRB-  . 
15_cell_pos_47	CONS 
15_cell_pos_48	-LRB-  in  order  of  annoyance  ,  worst  first  -RRB-  : 
15_cell_pos_49	1  .  The  phone  is  almost  completely  made  of  plastic  ,  and  I  `  ve  never  thought  plastic  was  as  durable  as  metal  . 
15_cell_pos_50	While  Motorola  makes  truly  awesome  phones  , 
15_cell_pos_51	I  worry  there  might  be  an  over-reliance  on  plastic  to  protect  the  insides  of  the  phone  . 
15_cell_pos_52	2  . 
15_cell_pos_53	When  the  phone  is  in  the  holster  ,  the  outside  display  is  not  visible  , 
15_cell_pos_54	forcing 
15_cell_pos_55	me  to  remove  the  phone  from  the  holster 
15_cell_pos_56	to  see 
15_cell_pos_57	who  's  calling  -LRB-  for  those 
15_cell_pos_58	that  do  n't  have  a  custom  ring 
15_cell_pos_59	configured  -RRB- 
15_cell_pos_60	or  to  check  the  time  . 
15_cell_pos_61	Very  annoying  , 
15_cell_pos_62	as  I  'm  used  to  using  my  phone  as  a  watch  . 
15_cell_pos_63	3  .  The  icons  on  the  outside  display  are  small 
15_cell_pos_64	and  those  who  are  overdue  for  a  new  eye  prescription  might  have  trouble 
15_cell_pos_65	seeing  and  interpreting  the  icons  . 
15_cell_pos_66	The  only  two  parts 
