4_cell_neg_1	4_cell_neg_0
4_cell_neg_2	4_cell_neg_1
4_cell_neg_3	4_cell_neg_2
4_cell_neg_4	4_cell_neg_3
4_cell_neg_5	4_cell_neg_4
4_cell_neg_6	4_cell_neg_5
4_cell_neg_7	4_cell_neg_6
4_cell_neg_8	4_cell_neg_7
4_cell_neg_9	4_cell_neg_8
4_cell_neg_10	4_cell_neg_9
4_cell_neg_11	4_cell_neg_10
4_cell_neg_12	4_cell_neg_11
4_cell_neg_13	4_cell_neg_12
4_cell_neg_14	4_cell_neg_13
4_cell_neg_15	4_cell_neg_14
4_cell_neg_16	4_cell_neg_15
4_cell_neg_17	4_cell_neg_16
4_cell_neg_18	4_cell_neg_17
4_cell_neg_19	4_cell_neg_18
4_cell_neg_20	4_cell_neg_19
4_cell_neg_21	4_cell_neg_20
4_cell_neg_22	4_cell_neg_21
4_cell_neg_23	4_cell_neg_22
4_cell_neg_24	4_cell_neg_23
4_cell_neg_25	4_cell_neg_24
4_cell_neg_26	4_cell_neg_25
4_cell_neg_27	4_cell_neg_26
4_cell_neg_28	4_cell_neg_27
4_cell_neg_29	4_cell_neg_28
4_cell_neg_30	4_cell_neg_29
4_cell_neg_31	4_cell_neg_30
4_cell_neg_32	4_cell_neg_31
4_cell_neg_33	4_cell_neg_32
4_cell_neg_34	4_cell_neg_33
4_cell_neg_35	4_cell_neg_34
4_cell_neg_36	4_cell_neg_35
4_cell_neg_37	4_cell_neg_36
4_cell_neg_38	4_cell_neg_37
4_cell_neg_39	4_cell_neg_38
4_cell_neg_40	4_cell_neg_39
4_cell_neg_41	4_cell_neg_40
4_cell_neg_42	4_cell_neg_41
4_cell_neg_43	4_cell_neg_42
4_cell_neg_44	4_cell_neg_43
4_cell_neg_45	4_cell_neg_44
4_cell_neg_46	4_cell_neg_45
4_cell_neg_47	4_cell_neg_46
4_cell_neg_48	4_cell_neg_47
4_cell_neg_49	4_cell_neg_48
4_cell_neg_50	4_cell_neg_49
4_cell_neg_51	4_cell_neg_50
4_cell_neg_52	4_cell_neg_51
4_cell_neg_53	4_cell_neg_52
4_cell_neg_54	4_cell_neg_53
4_cell_neg_55	4_cell_neg_54
4_cell_neg_56	4_cell_neg_55
4_cell_neg_57	4_cell_neg_56
4_cell_neg_58	4_cell_neg_57
4_cell_neg_59	4_cell_neg_58
4_cell_neg_60	4_cell_neg_59
4_cell_neg_61	4_cell_neg_60
4_cell_neg_62	4_cell_neg_61
4_cell_neg_63	4_cell_neg_62
4_cell_neg_64	4_cell_neg_63
4_cell_neg_65	4_cell_neg_64
4_cell_neg_66	4_cell_neg_65
4_cell_neg_67	4_cell_neg_66
