1_cell_neg_2	from  HTC  . 	0.0001	0.0001
1_cell_neg_3	There  are  many  pros  and  cons  about  this  device  and  the  service  that  it  is  shackled  to  . 	0.125	0.25
1_cell_neg_4	I  will  break  it  down  to  Hardware  ,  Software  and  Cell  Phone  Service  Provider  . 	0.125	0.25
1_cell_neg_5	Hardware  Pro  's  : 	0.0001	0.0001
1_cell_neg_6	A  lot  has  been  written  about  this  aspect  of  the  device  ,  so  I  `  ll  keep  this  to  a  minimum  -  The  best  form  factor 	0.125	0.4166666666666667
1_cell_neg_7	I  `  ve  ever  seen  . 	0.0001	0.0001
1_cell_neg_8	This  device  provides  you  the  power  of  a  Blackberry  without  the  bulky  hardware 	0.0001	0.0001
1_cell_neg_9	so  I  can  put  it  in  my  pocket  comfortably 	0.125	0.0001
1_cell_neg_10	and  not  have  to  look  like  a  geek  with  the  belt  holster  . 	0.3333333333333333	0.25
1_cell_neg_11	-  A  key  selling  point  for  me  was  the  combined  Bluetooth  ,  Wi-Fi  and  quad-band  connectivity 	0.125	0.25
1_cell_neg_12	that  enabled  me  to  connect  a  wireless  headset  ,  cruise  web  pages 	0.0001	0.3125
1_cell_neg_13	and  have  access 	0.0001	0.25
1_cell_neg_14	to  email 	0.0001	0.0001
1_cell_neg_15	when  in  the  US  or  Europe  . 	0.0001	0.0001
1_cell_neg_16	-  The  phone  quality  is  excellent  . 	0.125	0.3125
1_cell_neg_17	-  The  keyboard  layout  is  excellent  and  easy  to  use  for  medium  sized  emails  . 	0.1875	0.4375
1_cell_neg_18	-  The  battery  life  is  great 	0.125	0.25
1_cell_neg_19	when  Wi-Fi  is  not  enabled  and  adequate 	0.375	0.3125
1_cell_neg_20	when  it  is  . 	0.125	0.25
1_cell_neg_21	-LRB-  I  `  ve  rarely  struggled  with  a  dying  battery  .  -RRB-  Stand-by 	0.375	0.0001
1_cell_neg_22	power  management  appears  to  be  excellent  . 	0.125	0.25
1_cell_neg_23	-  Charging  of  the  device  is  very  quick  . 	0.1875	0.25
1_cell_neg_24	-  The  display  , 	0.0001	0.0001
1_cell_neg_25	while  a  little  small  , 	0.375	0.0001
1_cell_neg_26	is  crystal  clear  and  surprisingly  easy  to  use  given  its  size  . 	0.21875	0.325
1_cell_neg_27	-  The  camera  is  pretty  good  and  it  's  been  really  great 	0.16666666666666666	0.4
1_cell_neg_28	emailing  photo  's  to  people  as  I  'm  traveling  around  . 	0.0001	0.0001
1_cell_neg_29	After  all  of  the  cons 	0.0001	0.0001
1_cell_neg_30	that  you  `  ll  read  below  you 	0.0001	0.0001
1_cell_neg_31	`  ll  wonder 	0.0001	0.75
1_cell_neg_32	why  I  ever  bought  the  device 	0.0001	0.0001
1_cell_neg_33	and  why  I  still  use  it  . 	0.125	0.0001
1_cell_neg_34	Well  here  it  is  : 	0.125	0.25
1_cell_neg_35	1  .  T-Mobile  locked  me  into  a  2  year  contract  on  a  very  expensive  device  . 	0.25	0.3333333333333333
1_cell_neg_36	2  .  It  has  great  hardware 	0.0001	0.25
1_cell_neg_37	that  I  can  use  in  the  US  and  Europe  , 	0.0001	0.0001
1_cell_neg_38	I  'm  just  hoping 	0.125	0.125
1_cell_neg_39	that  Microsoft  will  finally  get 	0.0001	0.125
1_cell_neg_40	it  right  . 	0.125	0.0001
1_cell_neg_41	Hardware  Con  's 	0.0001	0.0001
1_cell_neg_42	-  The  touch  sensitive  volume  button  is  the  most  ill-conceived  feature 	0.125	0.25
1_cell_neg_43	I  `  ve  ever  seen  . 	0.0001	0.0001
1_cell_neg_44	Even  after  playing  around  with  various  settings 	0.0001	0.125
1_cell_neg_45	it  is  still  hard  to  quickly  set  the  volume  at  the  desired  level  . 	0.15625	0.20833333333333334
1_cell_neg_46	Even  worse  , 	0.75	0.125
1_cell_neg_47	when  using  the  phone  your  ear  or  finger  can  inadvertently  hit  the  control 	0.375	0.0001
1_cell_neg_48	and  randomly  change  the  volume  . 	0.0001	0.375
1_cell_neg_49	-  The  TI  OMAP  850  at  201MHz  is  not  beefy  enough  for  the  software 	0.375	0.1875
1_cell_neg_50	that  is  loaded  onto  the  device  . 	0.125	0.25
1_cell_neg_51	However  , 	0.5	0.125
1_cell_neg_52	the  blame  could  well  be  laid  at  Microsoft  's  door  for  writing  inefficient  code 	0.3125	0.3125
1_cell_neg_53	and  having  poor  scheduling  software  between  tasks  and  applications  . 	0.0001	0.25
1_cell_neg_54	Either  way  ,  performance  is  very  slow  for  some  basic  functions 	0.1875	0.20833333333333334
1_cell_neg_55	-LRB-  see  below  -RRB- 	0.0001	0.0001
1_cell_neg_56	and 	0.0001	0.0001
1_cell_neg_57	I  'm  afraid 	0.5	0.0001
1_cell_neg_58	some  of  the  blame  needs  to  be  laid  at  the  choice  of  processor  . 	0.2916666666666667	0.25
1_cell_neg_59	Software  Pro  's 	0.0001	0.0001
1_cell_neg_60	-  Not  many 	0.625	0.0001
1_cell_neg_61	that  really  come  to  mind  . 	0.5	0.625
1_cell_neg_62	Software  Con  's 	0.0001	0.0001
1_cell_neg_63	-LRB-  I  hope 	0.125	0.125
1_cell_neg_64	you  `  re  sitting  comfortably  -RRB- 	0.125	0.0001
1_cell_neg_65	- 	0.0001	0.0001
1_cell_neg_66	When  a  call  is  on  call 	0.125	0.25
1_cell_neg_67	waiting  the  phone  fails  to  give  an  option  to  the  user  to  select  which  call  to  take  and 	0.16666666666666666	0.0001
1_cell_neg_68	which  call  to  put  on  hold  or  drop\/ignore  . 	0.0001	0.25
1_cell_neg_69	On  the  occasions 	0.0001	0.0001
1_cell_neg_70	this  problem  has  occurred  with  me  the  call 	0.625	0.25
1_cell_neg_71	that  is  dropped\/kept  appears  random  with  a  preference  to  switch  to  the  incoming  call  no  matter 	0.1875	0.25
1_cell_neg_72	what  is  depressed  . 	0.125	0.25
1_cell_neg_73	The  other  call  is  dropped  and  not  put  on  hold  . 	0.4583333333333333	0.25
1_cell_neg_74	- 	0.0001	0.0001
1_cell_neg_75	When  a  call  is  incoming 	0.125	0.25
1_cell_neg_76	and  the  keyboard  is  locked  , 	0.125	0.25
1_cell_neg_77	if  the  user  depresses  the  green  phone  key  the  call  is  dropped  . 	0.125	0.25
1_cell_neg_78	This  is  extremely  counter  intuitive  . 	0.125	0.4375
1_cell_neg_79	"If  the  user  presses  anything  other  than  the  ""  answer  ""  key  the  call  is  dropped  and  sometimes  the  call  has  been  dropped  even "	0.2916666666666667	0.21875
1_cell_neg_80	"when  I  have  depressed  the  ""  answer  ""  key  . "	0.125	0.25
1_cell_neg_81	-  The  contacts  database  is  extremely  rudimentary  with  a  very  limited  number  of  views  and  filters 	0.25	0.375
1_cell_neg_82	that  can  be  used  . 	0.125	0.25
1_cell_neg_83	Even  worse  ,  upon  selection  ,  the  contacts  database  takes  between  5  and  8  seconds 	0.75	0.25
1_cell_neg_84	to  open  . 	0.0001	0.0001
1_cell_neg_85	Now  , 	0.0001	0.0001
1_cell_neg_86	I  have  what  some  would  call  a  large  database  of  contacts  , 	0.125	0.28125
1_cell_neg_87	but  considering 	0.0001	0.125
1_cell_neg_88	that  the  Palm  OS  version  responded  immediately  with  a  far  more  sophisticated  use  model  this  excuse  does  not  wash  . 	0.34375	0.625
1_cell_neg_89	It  's  simply  a  poorly  architected  database  . 	0.75	0.0001
1_cell_neg_90	-  The  user  interface  for  entering  a  new  contact  is  rudimentary 	0.125	0.3333333333333333
1_cell_neg_91	-LRB-  as  are  all  dialog  windows  on  this  device  .  -RRB- 	0.125	0.25
1_cell_neg_92	-  One  of  the  most  annoying  aspects  of  this  device  is  the  alarm  clock  . 	0.1875	0.3125
1_cell_neg_93	The  user  interface  looks  like  it  was  written  in  10  minutes 	0.125	0.25
1_cell_neg_94	and  was  clearly  not  verified  for  correctness  . 	0.3333333333333333	0.4375
1_cell_neg_95	The  digital  watch  I  had  in  1982  had  the  same  degree  of  sophistication 	0.25	0.20833333333333334
1_cell_neg_96	but  with  a  more  intuitive  use  model 	0.0001	0.0001
1_cell_neg_97	and  was  more  thoroughly  debugged  . 	0.125	0.4375
1_cell_neg_98	First  of  all  ,  the  user  only  gets  to  select  a  time  and  if  the  alarm  is  on  or  off  . 	0.1875	0.25
1_cell_neg_99	From  the  interface 	0.0001	0.0001
1_cell_neg_100	you  would  assume  you  could  only  set  a  single  alarm  .  .  . 	0.3125	0.375
1_cell_neg_101	if  only  it  were  that  obvious  . 	0.125	0.375
1_cell_neg_102	The  best  way  to  explain  this  buggy  piece  of  software  is  with  an  example  : 	0.125	0.4166666666666667
1_cell_neg_103	I  set  the  alarm  for  6am  ; 	0.25	0.375
1_cell_neg_104	the  next  day  the  alarm  goes  off  at  6am  . 	0.25	0.375
1_cell_neg_105	That  day  I  set  the  alarm  for  7am  - 	0.25	0.375
1_cell_neg_106	the  following  day  the  alarm  goes  off  at  6am  and  7am  . 	0.25	0.375
1_cell_neg_107	The  next  day  I  set  the  alarm  for  7:30  am  and  you  guessed  it  , 	0.25	0.25
1_cell_neg_108	the  alarm  now  goes  off  three  times  . 	0.25	0.4375
1_cell_neg_109	The  best  that  I  `  ve  been  able  to  deduce 	0.125	0.375
1_cell_neg_110	-LRB-  of  course  ,  this  type  of  behavior 	0.0001	0.25
1_cell_neg_111	is  not  documented  in  the  user  manual 	0.375	0.1875
1_cell_neg_112	that  comes  with  the  device  -RRB- 	0.0001	0.0001
1_cell_neg_113	"is  that  the  user  has  to  actively  select  ""  off  ""  for  the  current  setting "	0.125	0.3333333333333333
1_cell_neg_114	"before  setting  ""  on  ""  for  the  new  time  . "	0.0001	0.375
1_cell_neg_115	But  there  is  no  indication  of  what  alarms  are  set  ,  so  after  a  while  or  a  particularly  busy  week  you  can  loose  track  of  what  's  set  and  what  is  n't  .  .  .  the  only  way  to  clear  all  of  the  alarms 	0.175	0.296875
1_cell_neg_116	that  have  been  set  is  a  hard  re-boot  . 	0.3333333333333333	0.25
1_cell_neg_117	-  The  calculator  is  a  joke  . 	0.125	0.3125
1_cell_neg_118	If  this  took  an  engineer  10  minutes  to  write  they  should  be  fired  . 	0.125	0.25
1_cell_neg_119	A  calculator  watch  in  the  '  80  's  had  more  sophisticated  features  . 	0.0001	0.625
1_cell_neg_120	The  user  interface  is  so  bad 	0.375	0.25
1_cell_neg_121	it  's  hard  to  describe  it  in  words  . 	0.75	0.0001
1_cell_neg_122	-  Microsoft  truly  does  not  understand 	0.625	0.5
1_cell_neg_123	how  a  user  would  like  to  use  the  device 	0.0001	0.125
1_cell_neg_124	and  instead  insists  on  using  the  same  usage  model 	0.25	0.0001
1_cell_neg_125	that  they  `  ve  inflicted  upon  us  since  Windows  95  . 	0.625	0.0001
1_cell_neg_126	Most  features  or  function  have  to  be  navigated  through  the  Start  menu  button  . 	0.125	0.25
1_cell_neg_127	Applications  are  nested  and  features  are  hidden  behind  several  annoying  menu  selections  . 	0.125	0.25
1_cell_neg_128	Some  features  are  simply  hard  to  find  , 	0.125	0.1875
1_cell_neg_129	but  should  it  really  take  so  many  menu  selections 	0.0001	0.625
1_cell_neg_130	to  find  common  tools  or  applications  ? 	0.0001	0.0001
1_cell_neg_131	-  The  use  of  alarms  or  reminders  is  ambiguous  - 	0.16666666666666666	0.2916666666666667
1_cell_neg_132	"to  put  the  device  in  ""  Silent  ""  mode  , "	0.0001	0.0001
1_cell_neg_133	but  leave  alarms  on 	0.25	0.375
1_cell_neg_134	because  you  want  to  sleep  and  only  want  your  alarm  to  wake 	0.1875	0.2916666666666667
1_cell_neg_135	you 	0.0001	0.0001
1_cell_neg_136	up  ,  for  example  , 	0.0001	0.0001
1_cell_neg_137	does  not  work  . 	0.625	0.0001
1_cell_neg_138	Calendar  reminders  will  be  active 	0.3125	0.3125
1_cell_neg_139	as  they  are  assigned  the  alarm  property  instead  of  their  own  or  the  notification  property  . 	0.1875	0.3125
1_cell_neg_140	The  only  way  around  this  is  to  cancel  reminders  for  all  day  events  .  .  . 	0.125	0.25
1_cell_neg_141	otherwise 	0.125	0.5
1_cell_neg_142	you  get  an  alarm  at  midnight  . 	0.25	0.25
1_cell_neg_143	-  So  , 	0.0001	0.0001
1_cell_neg_144	on  my  Nokia  phone  a  thousand  years  ago  , 	0.0001	0.0001
1_cell_neg_145	when  I  went  to  Europe  my  phone  would  have  a  simple  selection  for  the  new  frequency 	0.375	0.25
1_cell_neg_146	I  needed 	0.25	0.25
1_cell_neg_147	once  landed  . 	0.0001	0.0001
1_cell_neg_148	The  phone  would  then  automatically  connect  to  the  provider  available  . 	0.0001	0.375
1_cell_neg_149	It  was  n't  completely  automatic  , 	0.125	0.375
1_cell_neg_150	but  the  user  interaction  was  simple  and  intuitive  . 	0.25	0.1875
1_cell_neg_151	Not  with  the  Dash  . 	0.625	0.375
1_cell_neg_152	First  of  all  T-Mobile  does  n't  help  by  keeping  a  radio  button  on  your  online  account  that  you  have  to  select  to  enable  international  roaming  . 	0.5	0.25
1_cell_neg_153	The  feature  is  free 	0.125	0.3125
1_cell_neg_154	so  why  not  add  a  selection  anyway  ? 	0.625	0.0001
1_cell_neg_155	All  you  know 	0.0001	0.0001
1_cell_neg_156	when  you  get  to  your  destination  is  that  your  phone  wo  n't  connect  to  the  local  network  no  matter 	0.1875	0.16666666666666666
1_cell_neg_157	what  you  do  . 	0.0001	0.0001
1_cell_neg_158	Now  , 	0.0001	0.0001
1_cell_neg_159	assuming 	0.375	0.0001
1_cell_neg_160	that  you  worked  this  out  , 	0.0001	0.0001
1_cell_neg_161	you  are  now  faced  with  the  challenge  of  actually  connecting  to  the  local  provider  's  network  . 	0.2916666666666667	0.3333333333333333
1_cell_neg_162	On  my  Blackberry  this  was  automatic  , 	0.125	0.25
1_cell_neg_163	but  of  course  with  Microsoft 	0.0001	0.0001
1_cell_neg_164	there  are  selections  to  make  ,  searches  to  activate  and  various  other  contortions 	0.375	0.25
1_cell_neg_165	that  need  to  be  gone  through  before  you  connect  to  the  provider  of  choice  . 	0.1875	0.25
1_cell_neg_166	Assuming  that  you  get 	0.375	0.125
1_cell_neg_167	connected  at  all  . 	0.0001	0.0001
1_cell_neg_168	-  ActiveSync  : 	0.0001	0.0001
1_cell_neg_169	This  is  the  most  annoying  piece  of  software  in  that  it  just  does  not  work  . 	0.375	0.25
1_cell_neg_170	Worse  still  , 	0.375	0.0001
1_cell_neg_171	when  it  does  not  work  it  gives  a  cryptic  error  message 	0.4583333333333333	0.0001
1_cell_neg_172	stating  that  an  error  has  occurred  and  some  data  will  be  lost  next  time  you  perform  synchronization  . 	0.4166666666666667	0.25
1_cell_neg_173	It  does  not  provide  you  with  a  fix  ,  a  hint  or  a  path  so  that  you  do  n't  lose  data  . 	0.5416666666666666	0.0001
1_cell_neg_174	It  does  not  even  tell  you  the  data 	0.625	0.125
1_cell_neg_175	that  was  lost  . 	0.3125	0.25
1_cell_neg_176	So  , 	0.0001	0.0001
1_cell_neg_177	I  'm  using  a  Microsoft  Mobile  OS  with  Microsoft  XP  and  Microsoft  Outlook 	0.0001	0.0001
1_cell_neg_178	and  they  ca  n't  get  that  right  ? 	0.0001	0.1875
1_cell_neg_179	-LRB-  OK  , 	0.0001	0.0001
1_cell_neg_180	it  maybe  serves  me  right  for  signing  up  to  so  much  Microsoft  , 	0.0001	0.1875
1_cell_neg_181	but  come  on  .  -RRB- 	0.0001	0.0001
1_cell_neg_182	This  was  another  primary  purchasing  driver  for  me  . 	0.125	0.375
1_cell_neg_183	I  am  very  busy  and  want  to  have  my  schedule  up  to  date  between  my  PC  and  PDA  -  all  the  time  . 	0.1875	0.25
1_cell_neg_184	It  's  the  only  way  to  keep  organized  . 	0.0001	0.0001
1_cell_neg_185	I  thought  that  with  the  same  provider  of  all  the  software 	0.0001	0.0001
1_cell_neg_186	I  'd  be  OK  . 	0.125	0.25
1_cell_neg_187	Also  , 	0.0001	0.0001
