and  have  loved  them 	0.0001
-LRB- 	0.0001
I  think 	0.0001
I  had  three  different  models  over  the  years  -RRB-  . 	0.0001
I  wanted  a  smart  phone 	0.625
so  I  could  check  my  email 	0.0001
so  I  gravitated  to  the  Treo  680  so  I  could  stay  with  a  Palm  product  and  so  I  could  stay  with  my  current  mobile  provider  ,  Cingular  . 	0.0001
Now  I  am 	0.125
counting  the  days 	0.125
until  my  2  year  commitment  ends 	0.0001
so  I  can  punt  this  awful  ,  awful  product  . 	0.875
I  may  even  bite  the  bullet 	0.0001
and  pay  off  my  commitment  early 	0.0001
just  so  I  can  get  rid  of  it  . 	0.0001
The  battery  problem  is  huge  . 	0.375
You  must  remember  to  stick  this  in  a  charger 	0.0001
whenever  you  can  . 	0.0001
If  you  forget  and  leave  it  in  your  pocket  overnight  then  it  will  be  dead  the  next  day  . 	0.125
I  have  turned  off  every  thing 	0.0001
I  can  find  that  sucks  power 	0.0001
and  it  still  drains  amazingly  fast  . 	0.125
It  wo  n't  even  last  a  day  if  you  make  very  many  calls  . 	0.25
The  reception  is  terrible  . 	0.125
I  `  ve  had  a  Cingular  phone  for  a  long  time  and  was  able  to  get  good  reception  over  most  of  So  . 	0.125
California 	0.0001
-LRB-  except  for  my  house  of  course  -RRB-  . 	0.0001
With  this  phone 	0.0001
I  think 	0.0001
you  have  to  be  right  underneath  an  antenna 	0.125
to  get  a  signal  . 	0.0001
I  was  on  a  conference 	0.125
call  yesterday 	0.0001
and  got  dropped  twice  . 	0.0001
I  am  envious  everytime 	0.125
I  get  in  an  elevator  with  someone 	0.0001
who  can  talk  on  their  cell  phone 	0.0001
because  mine  will  freeze  up  any  time 	0.0001
I  try  that  . 	0.0001
Yes  , 	0.0001
it  freezes  up  often  . 	0.0001
The  only  way  I  have  found  to  unfreeze  it  is  to  take  out  the  battery 	0.125
and  let  it  do  a  hard  reboot  . 	0.75
The  versa  mail  program  that  it  came  with  from  Cingular  is  hard  to  work  with  . 	0.4375
You  must  leave  your  work  computer  on  to  check  the  corporate  mail  . 	0.0001
That  means  if  I  am  traveling  with  my  computer  , 	0.125
the  phone  's  corporate  mail  program  will  not  work  . 	0.625
It  often  will  not  sync  anyway  . 	0.625
I  do  n't  think  the  browser 	0.5
