14_cell_neg_1	0.125	0.25
14_cell_neg_2	0.001	0.001
14_cell_neg_3	0.125	0.25
14_cell_neg_4	0.125	0.16666666666666666
14_cell_neg_5	0.125	0.21875
14_cell_neg_6	0.001	0.25
14_cell_neg_7	0.001	0.3125
14_cell_neg_8	0.125	0.1875
14_cell_neg_9	0.001	0.001
14_cell_neg_10	0.001	0.25
14_cell_neg_11	0.3125	0.375
14_cell_neg_12	0.001	0.001
14_cell_neg_13	0.125	0.2916666666666667
14_cell_neg_14	0.001	0.375
14_cell_neg_15	0.001	0.001
14_cell_neg_16	0.125	0.3125
14_cell_neg_17	0.125	0.4375
14_cell_neg_18	0.375	0.5
14_cell_neg_19	0.375	0.001
14_cell_neg_20	0.001	0.001
14_cell_neg_21	0.125	0.25
14_cell_neg_22	0.125	0.25
14_cell_neg_23	0.001	0.125
14_cell_neg_24	0.001	0.001
14_cell_neg_25	0.25	0.001
14_cell_neg_26	0.001	0.001
14_cell_neg_27	0.20833333333333334	0.001
14_cell_neg_28	0.001	0.001
14_cell_neg_29	0.25	0.001
14_cell_neg_30	0.001	0.1875
14_cell_neg_31	0.001	0.001
14_cell_neg_32	0.125	0.25
14_cell_neg_33	0.875	0.001
14_cell_neg_34	0.001	0.25
14_cell_neg_35	0.001	0.375
14_cell_neg_36	0.20833333333333334	0.28125
14_cell_neg_37	0.25	0.375
14_cell_neg_38	0.001	0.001
14_cell_neg_39	0.16666666666666666	0.25
14_cell_neg_40	0.001	0.001
14_cell_neg_41	0.001	0.001
14_cell_neg_42	0.001	0.001
14_cell_neg_43	0.001	0.125
14_cell_neg_44	0.4375	0.001
14_cell_neg_45	0.001	0.25
14_cell_neg_46	0.001	0.625
14_cell_neg_47	0.375	0.25
14_cell_neg_48	0.625	0.001
14_cell_neg_49	0.375	0.25
3_cell_pos_1	0.001	0.001
3_cell_pos_2	0.25	0.5
3_cell_pos_3	0.375	0.125
3_cell_pos_4	0.001	0.001
3_cell_pos_5	0.375	0.25
3_cell_pos_6	0.001	0.125
3_cell_pos_7	0.001	0.5
3_cell_pos_8	0.001	0.125
3_cell_pos_9	0.001	0.001
3_cell_pos_10	0.001	0.25
3_cell_pos_11	0.125	0.25
3_cell_pos_12	0.001	0.25
3_cell_pos_13	0.125	0.1875
3_cell_pos_14	0.001	0.001
3_cell_pos_15	0.001	0.25
3_cell_pos_16	0.1875	0.1875
3_cell_pos_17	0.4375	0.001
3_cell_pos_18	0.001	0.25
3_cell_pos_19	0.125	0.001
3_cell_pos_20	0.1875	0.3125
3_cell_pos_21	0.001	0.001
3_cell_pos_22	0.001	0.001
3_cell_pos_23	0.001	0.25
3_cell_pos_24	0.001	0.001
3_cell_pos_25	0.001	0.001
3_cell_pos_26	0.001	0.001
3_cell_pos_27	0.3	0.20833333333333334
3_cell_pos_28	0.3333333333333333	0.1875
3_cell_pos_29	0.125	0.25
3_cell_pos_30	0.001	0.1875
3_cell_pos_31	0.125	0.001
3_cell_pos_32	0.375	0.25
3_cell_pos_33	0.125	0.25
3_cell_pos_34	0.375	0.25
3_cell_pos_35	0.125	0.5
3_cell_pos_36	0.375	0.125
3_cell_pos_37	0.001	0.001
3_cell_pos_38	0.625	0.001
3_cell_pos_39	0.28125	0.2916666666666667
3_cell_pos_40	0.125	0.25
3_cell_pos_41	0.001	0.001
3_cell_pos_42	0.125	0.4375
3_cell_pos_43	0.1875	0.125
3_cell_pos_44	0.001	0.001
3_cell_pos_45	0.125	0.25
3_cell_pos_46	0.1875	0.001
3_cell_pos_47	0.001	0.001
3_cell_pos_48	0.625	0.001
3_cell_pos_49	0.001	0.001
3_cell_pos_50	0.625	0.001
3_cell_pos_51	0.125	0.25
3_cell_pos_52	0.001	0.375
3_cell_pos_53	0.001	0.001
3_cell_pos_54	0.001	0.001
3_cell_pos_55	0.375	0.25
3_cell_pos_56	0.125	0.1875
3_cell_pos_57	0.001	0.125
3_cell_pos_58	0.001	0.001
3_cell_pos_59	0.001	0.375
3_cell_pos_60	0.125	0.25
3_cell_pos_61	0.375	0.25
3_cell_pos_62	0.375	0.21428571428571427
3_cell_pos_63	0.001	0.001
3_cell_pos_64	0.125	0.25
3_cell_pos_65	0.001	0.001
3_cell_pos_66	0.001	0.001
3_cell_pos_67	0.125	0.25
3_cell_pos_68	0.001	0.001
3_cell_pos_69	0.125	0.001
3_cell_pos_70	0.001	0.001
3_cell_pos_71	0.125	0.5625
3_cell_pos_72	0.001	0.001
3_cell_pos_73	0.125	0.1875
3_cell_pos_74	0.001	0.001
3_cell_pos_75	0.25	0.1875
3_cell_pos_76	0.125	0.25
3_cell_pos_77	0.001	0.001
3_cell_pos_78	0.125	0.5625
3_cell_pos_79	0.001	0.5625
3_cell_pos_80	0.001	0.001
3_cell_pos_81	0.001	0.001
3_cell_pos_82	0.25	0.5
3_cell_pos_83	0.001	0.75
3_cell_pos_84	0.001	0.75
3_cell_pos_85	0.001	0.125
3_cell_pos_86	0.125	0.5
3_cell_pos_87	0.375	0.001
3_cell_pos_88	0.001	0.001
3_cell_pos_89	0.125	0.25
3_cell_pos_90	0.001	0.125
3_cell_pos_91	0.1875	0.3125
3_cell_pos_92	0.001	0.875
3_cell_pos_93	0.001	0.001
3_cell_pos_94	0.625	0.001
3_cell_pos_95	0.25	0.625
3_cell_pos_96	0.001	0.001
3_cell_pos_97	0.125	0.25
3_cell_pos_98	0.001	0.25
3_cell_pos_99	0.125	0.1875
