word	pos	polarity	strength
abandoned	JJ	negative	0.5
abandonment	NN	negative	0.5
abandon	VB	negative	0.5
abase	VB	negative	1.0
abasement		negative	1.0
abash	VB	negative	1.0
abate	VB	negative	0.5
abdicate	VB	negative	0.5
aberration	JJ	negative	1.0
aberration	NN	negative	1.0
abhor		negative	1.0
abhor	VB	negative	1.0
abhorred	JJ	negative	1.0
abhorrence	NN	negative	1.0
abhorrent	JJ	negative	1.0
abhorrently		negative	1.0
abhors	JJ	negative	1.0
abhors	NN	negative	1.0
abidance	JJ	positive	1.0
abidance	NN	positive	1.0
abide		positive	1.0
abject	JJ	negative	1.0
abjectly	RB	negative	1.0
abjure	VB	negative	0.5
abilities	NN	positive	0.5
ability	NN	positive	0.5
able	JJ	positive	0.5
abnormal	JJ	negative	0.5
abolish	VB	negative	0.5
abominable	JJ	negative	1.0
abominably		negative	1.0
abominate	VB	negative	1.0
abomination	NN	negative	1.0
above		positive	0.5
above-average	JJ	positive	0.5
abound	VB	positive	0.5
abrade	VB	negative	0.5
abrasive	JJ	negative	1.0
abrupt	JJ	negative	0.5
abscond	VB	negative	1.0
absence	NN	negative	0.5
absentee		negative	0.5
absent-minded	JJ	negative	1.0
absolve	VB	positive	1.0
absolute	JJ	neutral	1.0
absolutely	JJ	neutral	1.0
absorbed	VB	neutral	0.5
absurd	JJ	negative	1.0
absurdity	NN	negative	1.0
absurdly		negative	1.0
absurdness	NN	negative	1.0
abundant	JJ	positive	0.5
abundance	NN	positive	0.5
abuse	JJ	negative	0.5
abuse	NN	negative	0.5
abuse	VB	negative	1.0
abuses	JJ	negative	0.5
abuses	NN	negative	0.5
abusive	JJ	negative	1.0
abysmal	JJ	negative	1.0
abysmally		negative	1.0
abyss	NN	negative	1.0
accede	VB	positive	1.0
accentuate	VB	neutral	1.0
accept	VB	positive	0.5
acceptance	NN	positive	0.5
acceptable	JJ	positive	0.5
accessible	JJ	positive	0.5
accidental	JJ	negative	0.5
acclaim	NN	positive	1.0
acclaim	VB	positive	1.0
acclaimed	JJ	positive	1.0
acclamation		positive	1.0
accolade	NN	positive	1.0
accolades	NN	positive	1.0
accommodative	JJ	positive	0.5
accomplish	VB	positive	0.5
accomplishment	NN	positive	0.5
accomplishments	NN	positive	0.5
accord	VB	positive	0.5
accordance	NN	positive	0.5
accordantly	RB	positive	0.5
accost	VB	negative	0.5
accountable	JJ	negative	0.5
accurate	JJ	positive	0.5
accurately	JJ	positive	0.5
accursed	JJ	negative	1.0
accusation	JJ	negative	1.0
accusation	NN	negative	1.0
accusations	JJ	negative	1.0
accusations	NN	negative	1.0
accuse	VB	negative	1.0
accuses	VB	negative	1.0
accusing		negative	1.0
accusingly		negative	1.0
acerbate	VB	negative	1.0
acerbic	JJ	negative	1.0
acerbically	RB	negative	1.0
ache	VB	negative	1.0
achievable	JJ	positive	0.5
achieve	VB	positive	0.5
achievement		positive	0.5
achievements		positive	0.5
acknowledge	VB	positive	0.5
acknowledgement	NN	positive	0.5
acquit	VB	positive	0.5
acrid	JJ	negative	1.0
acridly		negative	1.0
acridness	NN	negative	1.0
acrimonious	JJ	negative	1.0
acrimoniously		negative	1.0
acrimony	NN	negative	1.0
active	JJ	positive	0.5
activist	JJ	neutral	1.0
activist	NN	neutral	1.0
actual		neutral	1.0
actuality		neutral	1.0
actually		neutral	1.0
acumen	NN	positive	1.0
adamant	JJ	negative	1.0
adamantly		negative	1.0
adaptable	JJ	positive	0.5
adaptability	NN	positive	0.5
adaptive	JJ	positive	0.5
addict	NN	negative	0.5
addiction	NN	negative	0.5
adept	JJ	positive	0.5
adeptly	RB	positive	0.5
adequate	JJ	positive	0.5
adherence	NN	positive	0.5
adherent	JJ	positive	0.5
adhesion	NN	positive	0.5
admirable	JJ	positive	1.0
admirer	NN	positive	1.0
admirable		positive	1.0
admirably		positive	1.0
admiration	NN	positive	1.0
admire	VB	positive	1.0
admiring	JJ	positive	1.0
admiringly	JJ	positive	1.0
admission	JJ	positive	0.5
admission	NN	positive	0.5
admit	VB	positive	1.0
admittedly		positive	1.0
admonish	VB	negative	1.0
admonisher		negative	1.0
admonishingly		negative	1.0
admonishment		negative	1.0
admonition	NN	negative	1.0
adolescents	JJ	neutral	1.0
adolescents	NN	neutral	1.0
adorable	JJ	positive	1.0
adore	VB	positive	1.0
adored	JJ	positive	1.0
adorer		positive	1.0
adorer	NN	positive	1.0
adoring	JJ	positive	1.0
adoringly		positive	1.0
adrift		negative	0.5
adroit	JJ	positive	1.0
adroitly	JJ	positive	1.0
adulate	VB	positive	1.0
adulation		positive	1.0
adulatory	JJ	positive	1.0
adulterate	VB	negative	1.0
adulterated		negative	1.0
adulteration	NN	negative	1.0
advanced	JJ	positive	0.5
advantage	JJ	positive	0.5
advantage	NN	positive	0.5
advantageous	JJ	positive	1.0
advantages	JJ	positive	0.5
advantages	NN	positive	0.5
adventure	JJ	positive	0.5
adventure	NN	positive	0.5
